ts,en,src_text,trg_text,Cosine_Score
"[ 0.7145753  -0.0761888  -0.01454279 ...  0.17530227  0.15698761
  0.7586532 ]","[ 0.00980163 -0.0033715  -0.00078007 ...  0.00912488 -0.0017333
  0.03020796]",Xiyimo xa Khabinete eka Timhakakulu1.,ISSUES IN THE ENVIRONMENT1.,0.7307677
"[ 0.69090664  0.8224065  -0.18406406 ...  1.0246322   0.80845946
  0.36917642]","[1.0110038e-02 2.1592286e-05 6.4710733e-03 ... 2.1729706e-02 1.3326902e-02
 2.6229749e-02]","Hangalaso wa Swisawutisi swa Vuvabyi bya Khoronavhayirasi (COVID-19) Khabinete yi tivisiwile hi Ndzawulo ya Rihanyo hi mayelana na ndzima leyi khatsiweke ya Nongonoko wa Hangalaso wa Nsawutiso, lowu wu katseke ntivomitungu, (rhavi ra vudokodela leri ri tirhanaka na maendlekelo, hangalako na vulawuri lebyi nga kotekaka bya mavabyi na swihlohloteri swin'wana leswi fambelanaka na rihanyo) na vulanguter Khabinete yi lemuke ku ehla ka mitluletavuvabyi yintshwa, xikan'we na ku amukeriwa eswibedhlele na timhangu ta mafu leti vikiwek","Coronavirus Disease (COVID-19) vaccine roll-out Cabinet was apprised by the Department of Health on the progress of the Vaccination Roll-out Programme, which included epidemiology (the branch of medicine which deals with the incidence, distribution and possible control of diseases and other factors relating to health) and surveillanc Cabinet noted the decline in new infections, as well as hospital admissions and reported death case",0.9051851
[0.7161512  0.10476994 1.4617234  ... 2.0170023  0.63478476 1.5256742 ],[0.00684221 0.00437038 0.02805333 ... 0.03458225 0.03138989 0.02398215],"Hambiswiritano, Khabinete yi lemuke ku tlakuka eka mipimo ya mbuyelelo wa mitluletavuvaby Ndzawulo ya Rihanyo yi tiyisisele Khabinete leswaku ntirho wo tala wu le ku endliweni ku twisisa na ku kamanyeta mitumbuluko ya mitlawa ya swikolo leyi vikiweke, ngopfungopfu eKapa-Vuhumadyamb","Cabinet however noted the increase in infection reproduction rate The Department of Health assured Cabinet that more work is being done to understand and contain the reported school cluster outbreaks, particularly in the Eastern Cap",0.87451327
[0.43149626 0.30253288 0.10567075 ... 0.65595037 0.25382167 0.7854055 ],"[ 0.0241888  -0.00071414  0.00441473 ...  0.01314616  0.02012846
  0.01307292]","Kuveni hi le tlhelo, Khabinete yi kombela vatswari, vadyondzi na tihuvo to fuma swikolo ku tiyisisa ku landzeleriwa ka vurhonwana ka ku ambariwa ka swipfalaxikandza, nkhuluko wa moya, ku siyiwa ka mpfhuka exikarhi ka vanhu na nsivelamavabyi wa ku hlamba swandl Ku landzeleriwa ka vurhonwana ka milawu ya rihanyo leyi nga riki ya mirhi ku tshama ka ha ri vusirheleri lebyi tirhaka kahle swinene ehenhla ka ku hangalaka ka xitsongwatsongwan Hi kwalomuya ka 31 Mhawuri 2021, kutlula 12 568 525 wa mipimamurhi ya swisawutisi swa COVID-19 swi nyikiwile etikweni hinkwar Nhlayo leyi engeteriweke ya tindhawu ta nsawutiso, na masiku ya nsawutiso lama engeteriweke na ku nyikiwa ka swifambo swa mahala hi swifundzakulu, swi vanga ntlakuko wo tivikana eka nhlayo ya vanhu lava va nga ta sawutisiwa hi vutal Khabinete yi khutaza vanhu lava nga sawutisiwangiki etikweni ra ka hina, ngopfungopfu lavakulu na lava nga eka nxungeto wa le henhla wa ku khomiwa hi vuvabyi byo tikisa, ku sawutisiwa hi ku hatlis Swisawutisi swi khomele rihanyo ra hina mivuyelo ya kahle tanihiloko swi sivela vuvabyi byo tivikana, ku amukeriwa exibedhlele na rif A hi lweni na xitsongwatsongwana lexi swin'we hi ku hangalasa vuxokoxoko lebyi tiyisisiweke hi mayelana na swisawutisi hi Ndzawulo ya Rihanyo na Nhlangano wa Rihanyo wa Misava Mbalango wa Nhlayo ya Vatirhi wa Kotara na Kotara (QLFS) Mivuyelo wa QLFS leya ha ku vaka kona sweswinyana leyi humesiweke hi Tinhlayonhlayo ta Afrika-Dzonga eka kotara ya vumbirhi ya 2021 yi kombe leswaku mpimo wa mpfumaleko wa mitirho hi mikutlunyo ya tiphesente ta kusuka eka 3 leti rhekodiweke eka kotara yo sungula ya 2021 kufika eka 3 kotara ya vumbirh Mivuyelo leya xiyimo xa le hansi yi ya emahlweni ku tisa emahlweni xihatla eka tisekitara hinkwato hi ku tirhisana na mfumo ku hatlisisa nsimeko wa Kungu ra ku Aka hi Vuntshwa na Nhlakarhelo wa Ikhonomi (ERRP) ku tirhana na switandzhaku swo onhetela swa COVID-19.","Meanwhile, Cabinet appeals to parents, learners and school governing bodies to ensure strict adherence to the wearing of masks, ventilation, social distancing and handwashing hygien Strict adherence to the non-pharmaceutical health protocols remains the most effective defence against the spread of the viru By 31 August 2021, more than 12 568 525 doses of COVID-19 vaccines had been administered across the countr The increased number of vaccination sites, and extended vaccination days and the provision of free transport by provinces, will result in a significant increase in the number of people who will be fully vaccinate",0.8680861
[0.5298594  0.5887814  0.16238482 ... 0.7446949  0.9367001  0.51595575],[0.02503236 0.02429964 0.00566832 ... 0.0232819  0.05537385 0.00824894],"ERRP yi le xivindzini xa matshalatshala ya mfumo ku aka hi vuntshwa na ku cinca ikhonomi ku endlela ku tumbuluxa mitirho yo tala, ngopfungopfu eka vantshw Khabinete yi khutaziwa hi van'wana va vatirhi eka tisekitara to tanihi vuaki, mabindzu, na vutleketli leti ti tumbuluxeke mitirho yintshwa hi nkarhi lowu nga ehansi ka nkambisis Ntwanano wa vanhu ku aka hi vuntshwa na ku cinca ikhonomi ya hina tanihi xiphemu xa vutihlamuleri lebyi avelaniwaka wu ta tiyisisa leswaku hi hlakarhela hi ku hatlisa tanihi tiko Madzolonga yo ya hi rimbewu na ku dlayeteriwa ka vaxisati (GBV) Khabinete yi hundzise michavelelo ya yona yo huma embilwini eka mindyangu hinkwayo na vanghana va vavasati lava va dlayiweke hi tihany Lava va katsa Mnn Nosicelo Mtebeni; Mnn Palesa Maruping, Mnn Pheliswa","The ERRP is at the heart of government s efforts to rebuild and transform the economy so as to create more jobs, especially for young peopl Cabinet is encouraged by some of the sectors such as construction, trade and transport that have created new jobs during the period under revie A social compact to rebuild and transform our economy as part of a shared responsibility will ensure we recover quickly as a country Gender-based violence and femicide (GBVF) Cabinet expressed its deepest condolences to all families and friends of the women who were gruesomely murdered recentl These include Ms Nosicelo Mtebeni; Ms Palesa Maruping, Ms Pheliswa",0.89094263
"[ 3.4997241  -0.17751433 -0.01782558 ... -0.03883551  0.5984402
 -0.02311495]","[ 0.05533432  0.00077838 -0.00161305 ...  0.00274405  0.00913727
  0.00036442]",Dolly,Dolly,0.9416379
[0.9415995  1.9460568  0.08593972 ... 0.5051478  0.9561935  0.83916885],"[ 0.01633913  0.03095438 -0.00014106 ...  0.02026696  0.02664301
  0.00216318]","Sawutana na vavasati lava a va nga ri na nandzu van'wana vo tala lava va nga ha vaka va nga vikiwangi hi swihangalasamahung Milandzu leya tihanyi yi endliwile hi nkarhi wa ku tsundzukiwa ka N'hweti ya Vavasati hi Mhawuri, leyi a yi ri n'hweti ya ku tlangela magoza lama endliweke eka ku hunguta mikandzingano erixakeni ra ka hin Vugevenga lebyi byi hi tsundzuxile hinkwerhu ka hina leswaku GBVF yi tshama ya ha ri ntlhontlho lowukulukumba lowu nga langutana na tiko ler Swi lava hinkwerhu ka hina ku tirha hi matimba ku tiyisa nsirhelelo wa vavasat Khabinete yi komberile tiejensi ta nsindziso wa nawu ku tiyisisa leswaku vululami bya fikisiwa eka vavasati lava na mindyangu ya von Mfumo wu averile mpimohansi wa R21 wa tibiliyoni ku fambisa nsimeko wa Kungu ra Xiqhinga ra Rixaka hi mayelana na GBVF, leri ri lavaka ku herisa mpingu low","Cabinet welcomed the arrest of seven suspects in connection with the recent murder of Ms Babita Deokaran, Acting Chief Director of Financial Accounting in the Gauteng health departmen Ms Deokaran was a dedicated public servant who stood firmly against corruption and was a key witness in a Special Investigating Unit investigation into the fraudulent procurement of personal protective equipment and other illegal activities in the departmen Cabinet reiterated that whistle-blowers are important guardians of our democracy and clean governance, and urged people to continue exposing and reporting corruption and malfeasance without fear or favou",0.80576193
[0.7590579  1.9439516  0.29451373 ... 1.4910599  1.1279538  1.2684984 ],"[ 0.01488465  0.04762668 -0.00050269 ...  0.06270712  0.03756557
  0.0293906 ]","Miphalalo yo tala yi endliwile yi va kona ku tiyisa sisiteme ya vululami bya swa vugeveng Leswi swi katsa ku engetela tikhoto ta swifundza leti endleriweke ku tirhana na milandzu ya swa masangu, ku tiyisa milawu ya hina ya milandzu ya swa masangu na ku nyika swikili leswi lavekaka eka maphorisa ya ka hina ku tirhana hi ndlela ya kahle na milandzu yo tan Miako ya mfumo yo tala yi hundzuluxiwile ku tumbuluxa vutumbelo byo tala bya vavasati lava nga eka ntshikelel Khabinete yi kombela hinkwerhu ka hina ku khomana eka ku tumbuluxa mbangu wo hlayiseka na ku va wo sirheleleka eka vavasati lava nga etikweni ler Ku kuma ku pfuniwa na nkhongotelo hi mayelana na milandzu ya GBVF, bela riqingho eka Senthara ya Ndzeriso ya GBV eka 0800 428 428 (0800 GBV GBV).","A number of interventions have been put in place to strengthen our criminal justice syste These include increasing dedicated regional courts to deal with sexual offences, strengthening our sexual offences laws and equipping our police officers with the requisite skills to deal effectively with such offence A number of government buildings have been converted to create more shelters for women in distres Cabinet calls on all of us to join hands in creating a safe and secure environment for women in the countr To obtain assistance and counselling on GBVF matters, call the GBV Command Centre on 0800 428 428 (0800 GBV GBV).",0.9044534
"[ 0.8174551   0.6379715  -0.04694135 ...  0.4528901   0.88223624
  0.724641  ]","[ 0.02822342 -0.00015107  0.05276563 ...  0.02195062  0.02594817
  0.07203855]","Vabi va tiqingho va nga tlhela va kombela soxaliweka kusuka eka Senthara ya Ndzeriso ku tihlanganisa na vona hi ku dayila *120*7867# (mahala) kusuka eka selifoni yihi kumbe yihi Pfhumba ro Lwisana na Vukungundzwana Khabinete yi amukele ku khomiwa ka nkombo wa vaehleketeleriwa hi mayelana na ku dlayiwa ka Mnn Babita Deokaran, Mulawurinkulu wo Khomela wa Tinkota ta swa Timali eka ndzawulo ya rihanyo ya Gauten Mnn Deokaran a ri mutirhelamfumo wo tinyiketela loyi a yimeke a ku tsetserhele, ehenhla ka vukungundzwana naswona a ri mbhoninkulu eka vulavisisi bya Yuniti yo Lavisisa yo Hlawuleka eka ku xaviwa ka vumbabva ka switirhisiwa swa vutisirheleri na migingiriko leyi nga riki enawini yin'wana eka ndzawul Khabinete yi tshikelele leswaku valumandleve i vahlayisi va nkoka va xidemokirasi xa hina na mafumelo yo basa, na ku hlohlotela vanhu ku ya emahlweni va humesela erivaleni na ku mangala vukungundzwana na vuxisi ku ri hava nchavo kumbe vurhandz Swiboho swa Khabinete 1.","Vaccines hold good benefits for our health as they prevent serious illness, hospitalisation and deat Let us fight the virus together by spreading verified information about vaccines provided by the Department of Health and World Health Organisation Quarterly Labour Force Survey (QLFS) The recent QLFS results released by Statistics South Africa for the second quarter of 2021 showed that the unemployment rate increased by percentage points from the 3 recorded in the first quarter of 2021 to 3 in the second quarte",0.79826784
"[ 0.41625533  0.7580952  -0.1842253  ...  0.8593514   1.0007534
  0.85414165]","[ 0.02289198  0.02190624 -0.00030724 ...  0.031755    0.02218191
  0.01730921]",Xiviko xa Nhlahluvo wa Vuthu ra Xintirhwana xa Goza ra swa Timali (FATF) Khabinete yi nyikiwile vuxokoxoko hi mayelana na mivuyelo ya nhlahluvo wa Afrika-Dzonga hi mayelana na magoza ya yona yo Lwisana na Mfihlo wa Swihlovo swa Timali na ku Herisa ku Nyikiwa ka Timali eka Vutheroris,Cabinet was briefed on the outcomes of the assessment of South Africa on its Anti-Money Laundering and Combating the Financing of Terrorism measure,0.8436456
