ts,en,src_text,trg_text,Cosine_Score
"[ 0.81848663  0.13143846 -0.2626548  ...  1.1743789   1.139765
  1.00945   ]","[ 0.01912524 -0.00084334  0.00592308 ...  0.02779929  0.02480719
  0.04067587]","Ku humelerisiwa ka tiphurogiremenkulu ta mfumo Khabinete yi bela mandla eka Ndzawulo ya Vutshamo bya Vanhu ku va yi nyikile tindlu eka Phurojeke ya Vutshamo bya Vanhu leyi Hlanganeleke eSavanna City eka Masipala wa Muganga wa Sedibeng eka lava nga swel Vanhu vo tiveka va Afrika-Dzonga va hlanganile ni lava khumbhekaka, ku katsa vameyara na vatirhelafumo ku suka eMasipala wa Muganga wa Sedibeng, eka ku penda tindlu leti hetiweke eku simekiweni ku katsa na ku endla xirhapKu fikela kwalomuya ka 18 000 wa tindlu ti akiwile, leti nga vuyerisa vadyuhari, vanhu lava nga tsoniwa, ni vana na vamanana lava rhangelaka mint Khabinete yi tlhela yi amukela ku tivisiwa leswaku haxawa ndzawulo yi ta simeka phurojeke, leyi nga ta vona leswaku tindlu ta 60 000 ta akiw","and bonded houses, educational facilities, clinics, cr ches, churches and retail sitesSince the beginning of construction early this year over 1 000 of the 18 399 houses are being built with over 100 complete Prominent South Africans joined industry stakeholders, including mayors and officials from the Sedibeng District Municipality, in working on three houses for the oldest beneficiarie Cabinet welcomes the upgrading of the R25 (P6-1) road, a 42-kilometre road that links Gauteng and Limpop The project, which stretches between Bapsfontein and Bronkhorstspruit, has employed more than 200 peopl It will also benefit the agricultural and mining sectors in the area by promoting faster movement of freight trucks that transport goods and services Key Cabinet decisions Cabinet was briefed by the Department of Science and Technology, which will be hosting a major public science week: Science Forum South Africa 2015 under the theme:",0.85543525
"[ 0.9923614  -0.00688836 -0.78925407 ...  0.5611557   0.90411127
  0.37471816]",[0.03166947 0.00160459 0.00484121 ... 0.02057405 0.03651968 0.01393059],Khabinete yi amukela ku ya emahlweni loku nga endliwa hi Phurojeke ya Tshepo,The GBVCC is a 24-hour call centre dedicated to providing support and counselling to victims of gender- based violenc This is another success story that shows a caring government that is resolute in the fight to stop Gender based violenc.,0.6355809
"[ 0.76712084 -0.31041187 -0.18728991 ... -0.41931218  0.19795994
 -0.7249027 ]","[ 8.0229966e-03 -2.2471279e-03  3.8029499e-05 ...  2.4521505e-03
  1.5681140e-02  1.4354968e-03]",hope,Horn,0.5791297
[0.70149577 0.2781845  0.04626859 ... 0.7198018  1.092502   0.8481205 ],[0.01489298 0.01356358 0.00456969 ... 0.02962659 0.03555289 0.02034743],"10 000, leyi nga le ku pfuneni ku hunguta ku pfumaleka ka mintirho eka vantshwa va Dorobankulu ra Tshwan Phurojeke leyi ya timiliyoninyingi ta tirhandi yi lava ku letela 10 000 wa vantshwa lava pfumalaka mintirho hi ku va nyika vuswikoti na ntokoto lowu lavekaka wa loko va lava ku nyika vukorhokeri eka phurojekeLoko va hetile ku leteriwa vantshwa va ta tumbuluxa na ku fambisa mabindzu lawa ya humelelak Ku fika sweswi, ku tlula kwalomuya ka 190 wa mabindzu ya fikelerisile swivandla swa mintirho eka vantshwa vo tal Hi ku engetela, tindzawulo ta dorobankulu ti thola vantshwa van wana va vona lava nga leteriw Khabinete yi amukela ku tlakusiwa ka gondzo ra R25 (P6-1), gondzo leri ra 42 wa tikhilomitara leri hlanganisaka Gauteng na Limpop Phurojeke leyi sukelaka exikarhi ka Bapsfontein na Bronkhorspruit, yi thorile ku tlula 200 wa vanh Yi ta tlhela yi vuyerisa sekithara ya vurimi na migodi eka ndzhawu leyi hi ku hlohlotela ku hatlisa ka mafambelo eka tilori ta tinhundzu leti rhwalaka nhundzu na vukorhokeri Swibohonkulu swa Khabinete Khabinete yi chumbuteriwile hi Ndzawulo ya Sayense na Thekinoloji, leyi nga ta va yi rhurhela vhiki ra sayense ya vaaki leyikulu: Foramu ya Sayense ya Afrika-Dzonga ya 2015 ehansi ka nhlokomhaka leyi nge:","(France), which resulted in the loss of innocent lives and destruction of propert South Africa stands firm in its condemnation of all attacks targeting innocent civilians and reiterates its stance that terrorism, in whatever form and from whichever quarter, cannot be condone Cabinet supports the actions of the Government Committee of Ministers on Water Scarcity and Drought to mitigate the effects of the drought and urges communities to use water sparingly in order to secure future suppl Government has added R96,6 million to the initial R352,6 million set aside to support the country s drought relief effort This includes the purchase of 45 water tankers for the distribution of water to affected areas, borehole drilling and rehabilitation, water conservation and demand management, and water source augmentationThe Department of Rural Development and Land Reform will in the worst affected regions allow the relocation of livestock onto state-owned land where there is still better pastur In addition the Department of Cooperative Governance and Traditional Affairs has coordinated with Mayors to implement various water saving measures under the guidance of the Department of Water and SanitatioThese include introducing water restrictions; monitoring adherence to water restrictions; applying penalties where necessary; prioritising the repair of water leaks; promoting water-efficient technologies such as low-flush toilet cisterns; rainwater harvesting and the use of grey water for irrigatio President Jacob Zuma led the South African delegation to the G20 Leaders Summit in Antalya, Turkey from 15 to 16 November 2015.",0.8498461
"[ 0.611752   -0.13829032 -0.46422565 ...  0.06235454  0.48461822
  0.29089049]","[ 0.00534726  0.00037306 -0.00025326 ... -0.00322913  0.01053438
  0.00543747]",Ku hlanganyeta mbhurisano hi sayense,Igniting conversation about science,0.76650393
[0.5813168  0.26456848 0.49937868 ... 1.4841127  1.5441225  0.982228  ],[0.00333342 0.00356198 0.00642901 ... 0.02345351 0.0348941  0.07350311],"ku sukela hi ti 8 ku fika hi ti 9 ta N wendzamhala, ePitorForamu leyi yi fikelerisa lava khumbhekaka lava humaka eAfrika-Dzonga, tikonkulu na vatirhisani va matiko ya misava hi xivandla xa ku kanela na ku dyondza hi pholisi leyi hlanganelaka exikarhi ka sayense na vaak","from 8 to 9 December 2015, in PretoriThis event provides stakeholders from South Africa, the continent and international partners with a platform for debate and policy learning on the interface between science and societ Cabinet approved that the International Maritime Organisation (IMO) World Maritime Day Parallel Event be hosted in South Africa in 2020.",0.8213269
"[ 0.71553195 -0.1456066  -0.2982981  ...  1.0471181   1.5835453
  3.0358243 ]",[0.01942861 0.00371129 0.00157477 ... 0.03185796 0.03568977 0.08826498],Khabinete yi pasisile leswaku Ntlangu lowu Xaxamelenaka na Siku ra Misava ra Malwande ra Nhlangano wa Matiko ya Misava wa Malwandle (IMO) wu rhurheriwa hi Afrika-Dzonga hi 2020.,which is a call to action by communitie This year s theme is informed by the United Nations World AIDS Day theme for 2011 to 2015 is:,0.7227641
[0.8472518  0.11766633 0.37412995 ... 1.0987016  1.0629085  2.0132148 ],"[ 0.01300311 -0.0012265   0.00309572 ...  0.03652616  0.03257315
  0.04385513]",Ndzawulo ya Vutleketli yi ta rhumela xiboho lexi xa Khabinete eka hlengeletano ya Khansele ya IMO leyi nga vekiwa ku ta khomiwa hi ti 23 ta Hukuri ku fika hi ti 04 ta N wendzamhala 201 Mintlangu leyi taka Phuresidente Jacob Zuma u ta rhurhela ntangha yakwe ya le China Xi Jinping eka Rendzo ra Tiko ra masiku mambirhi ku sukela hi ti2 ku fika hi ti3 ta N wendzamhal Rendzo leri ri lava ku hetisisa Rimba ra Ntirhisano exikarhi ka China-Afrika-Dzonga ra Malembe ya 5 na 10 leri nga ta tiyisisa ku simekiwa ka mintwanano ya hina endzhaku ka ku gimetiwa ka Mintwanano ya Beijing hi 2010.,The Ministry of Transport will therefore convey this decision of Cabinet to the IMO Council meeting scheduled to take place from 23 November to 04 December 201 Upcoming events President Jacob Zuma will host his Chinese counterpart Xi Jinping for a two-day State Visit from 2 to 3 Decembe The visit aims to finalise the China-South Africa 5-10 Year Framework on Cooperation that will further entrench the implementation of our agreements since the conclusion of the Beijing Declaration in 2010.,0.8926913
"[ 0.47801965  0.36443916 -0.21055128 ...  1.0001351   0.84147173
  1.0456704 ]","[ 4.0274938e-03 -1.2059153e-05 -1.3293214e-05 ...  1.8939637e-02
  3.6018863e-02  3.6814544e-02]","Yi ta ya emahlweni na ku anamisa na ku ndlandlamuxa Vuxaka bya Makungu lebyi Hetisekeke lebyi matiko havumbirhi ya avenelaka byonVuxaka bya Afrika-Dzonga na China byi ta tshama byi ri bya nkoka eka ku fikelela ajenda ya nhluvukiso hi pholisi ya matikomambe loko hi ya emahlweni hi matimba na ku simeka NDP, ntirhisano eka vurimi, timhaka ta mbango, mabindzu na vumaki na timali tanihiloko tiko ri yisa emahlweni ajenda ya Afrika-Dzonga emahlwen Yi tlhela yi fikelerisa nkateko wa ku hlela ku humelela loku nga kona eka mabindzu na ntirhisano eka matiko havumbirhi, na ku hatlisisa na ku hetisisa matlhelo yan wana ya vutirhisan Phuresidente Zuma u ta rhangela varhumiwa eka Ntshamo wa vu 21 wa Khomferense ya Minhlangano eka Rimba ra Mintwanano eka ku Cinca ka Maxelo eka Nhlangano wa Matiko ya Misava (UNFCCC) na Ntshamo wa vu 11 wa Khomferense ya Minhlangano leyi Korhokelaka Minhlangano eka Phurotokholo ya Kyoto (CMP11) leyi nga ta khomiwa ku sukela hi ti 30 ta Hukuri 2015 eParis, eFrancMinkanelo ya matiko ya misava ya mintwanano leyintshwa yi ta nyika rimba ra ku angula eka ku cinca ka maxelo, loku nga ta va kona ku sukela hi 2020 ku ya emahlwen Leswi fambelenaka na ku tsakela ka Afrika-Dzonga na matiko lawa ya ha hluvukaka lawa ya nga lava ku seketeriwa endzhaku ka 2020, Afrika-Dzonga ri ta ya emahlweni na ku sirhelela milawu ya nkoka ya UNFCCC ya ku ringanana na ku hambanisanEka ntlawa wa 77+ wa nhlengeletano ya le China, Afrika-Dzonga ri ta hlayisa na ku tiyisisa vun we bya matiko lawa ya ha hluvukaka ku kuma ntwanano wa le Paris lowu nga erivaleni, lowu lavaka ku hi yisa emahlweni, lowu nga andlariwa kahle hi xisayense naswona lowu nyikaka matiko lawa ya ha hluvukaka xivandla xo hluvuka eka matiko lawa ya ha hluvukak Phuresidente Zuma u ta simeka Pfhumba ra Masiku ya 16 ra Nghenelelo eka ku Alela Madzolonga eka Vamanana na Vana ku sukela hi ti 25 ta Hukuri 2015 eNaauwpoort, eMahikeng ehansi ka nhlokomhaka leyi nge:","It will further deepen and expand on the Comprehensive Strategic Partnership that the two countries sharSouth Africa s relations with China remain central to realising its developmental agenda through its foreign policy as it increases efforts to implement the NDP, collaborate in agriculture, environmental affairs, trade and industry and finance as the country continues to drive the agenda of moving South Africa forwar It is also provides an opportunity to review progress on existing areas of trade and cooperation between the two nations, and to expedite and finalise new areas of cooperatio President Zuma will lead a delegation to the 21st session of the Conference of the Parties to the United Nations Framework Convention on Climate Change (UNFCCC) and the 11th Session of the Conference of Parties serving as the Meeting of Parties to the Kyoto Protocol (CMP11) to be held from 30 November to 11 December 2015 in Paris, FrancThe international negotiations for a new legal agreement will frame the response to climate change, which will come into effect from 2020 onward In line with South Africa s national interest as an African and developing country that will require post-2020 support, South Africa will continue to defend the UNFCCC s core principles of equity and differentiatioAt the Group of 77+China meeting, South Africa will seek to maintain and strengthen the unity of developing countries to obtain a Paris Agreement that is fair, ambitious, science-based and that produces the development space of developing countrie President Zuma will launch the 16 Days of Activism Campaign for No Violence against Women and Children campaign on 25 November 2015 in Naauwpoort, Mahikeng under the theme:",0.89608574
"[ 0.6055694  -0.00215301  0.14676727 ...  0.5046719   1.1042713
  1.0866812 ]","[ 0.01288468 -0.0018673  -0.00079059 ...  0.00244232  0.03195793
  0.03458002]",Ndzi Hlayi na Mina: Hinkwerhu Hi Yisa Emahlweni ku Pfumaleka ka Madzolonga eAfrika-Dzonga Emahlwen,Count Me In: Together Moving a Non-Violent South Africa Forward .,0.7529197
