ts,en,src_text,trg_text,Cosine_Score
[0.75540304 0.03854477 2.3848774  ... 0.52401966 1.2586207  1.7540162 ],[0.02173359 0.00034139 0.05205641 ... 0.03625565 0.02771753 0.03984704],"Ku tirhisiwa ka tiphurogiremenkulu ta mfumo Tanihi mfumo hi tinyiketerile swinene eku tlakuseni ka vanhu va hina, tanihileswi dyondzo yi tshamaka yi ri yin we ya swikongomiso swa hina swa le henhl Hi kombisile leswi hi ku avelana switirhisiwa, laha Dyondzo ya le Henhla na Vuleteri a ku ri yin we ya vavuyeriwa eka mpimanyeto wa rixaka wa lembe leri, laha yi kumeke engetelelo wa 18% eka 2016/17.Handle ka ku tikeriwa ka ikhonomi, hi ya emahlweni hi avelana switirhisiwa tanihi xikombiso xa nseketelo wa hina ku anamisa mfikelelo eka Dyondzo ya le Henhla, na dyondzo hi ku angarhel Mfumo lembe leri wu nyikile Rbiliyoni ya Rbiliyoni leyi nga xota hi mhaka ya ku sabusidayiziwa ka ku engeteriwa ka 2016.","Implementation of key government programmes As government we are deeply committed to the upliftment of our people, hence education remains one of our apex prioritie We have demonstrated this through the allocation of resources, where Higher Education and Training was one of the biggest beneficiaries of this year s national budget, receiving an additional 18% for 2016/17.Despite economic difficulties we continue allocating resources as a demonstration of our support to broaden access to Higher Education, and education in genera Government this year provided Rbillion of the Rbillion shortfall resulting from the subsidisation on the 2016 increas More than Rbillion has been reprioritized in the 2016/17 financial year to make it available to the National Student Financial Aid Scheme to enable poor students to access higher educatio Government is fully aware that an investment in the education of our children will contribute to a higher trajectory of economic growth, which is needed to address the triple challenges of unemployment, poverty and inequalitGovernment has heard and responded to the pleas of students and will subsidise the fee adjustments for poor working and middle class university students for the 2017 academic yea Students whose parents or guardians can afford to pay for a university education must and should continue to do so, because education is a responsibility of all not only governmen The adjustment takes into account the issue of affordability for students and their parents, as well as the need to ensure that institutions of higher learning remain financially viabl The interim report by the Council on Higher Education proposed an inflation-linked fee adjustment across the board for 2014.",0.8554182
[0.31939283 0.06269305 0.10455471 ... 0.39904335 1.1644651  1.8011152 ],"[ 0.00647092 -0.00231887  0.02741864 ...  0.03519186  0.03451743
  0.06361876]","Ku tlula Rbiliyoni yi kongomisiwile nakambe eka lembe ximali ra 2016/17 ku endla leswaku yi kumeka eka Xikimi xa Rixaka ra Mpfuneto wa swa Timali eka Swichudeni ku kotisa swichudeni leswi nga swela ku fikelela dyondzo ya le henhl Mfumo wa swi tiva leswaku vuvekisi eka dyondzo ya vana va hina byi ta hoxa xandla eka ndlela ya le henhla ya nkulo wa ikhonomi, leswi lavekaka ku ololoxa mitlhlontlho yinharhu ya mpfumaleko wa mitirho, vusweti na mpfumaleko wa ndzinganMfumo wu twile no hlamula eka swikombelo swa swichudeni naswona wu ta sabusidayiza ku engeteriwa ka timali eka swichudeni swa le yunivhesiti swa ntlawa lowu sweleke kambe wu tirhaka na wa le xikarhi eka lembe dyondzo ra 2017.","For the 2016 examinations, there are 677 141 full-time and 150 183 part-time candidates, which is 9 000 more candidates than in 2015, demonstrating government s commitment to ensuring that more of our young people complete their basic education so that they are able to participate in the econom Cabinet wishes the Class of 2016 well as they embark on the final phase of their school career As the world commemorates World Teachers",0.8013735
[0.29291743 0.15510453 0.98434776 ... 1.5020975  0.7329582  2.3014948 ],[0.02238742 0.04563562 0.0083543  ... 0.00881322 0.03363598 0.03619943],"Swichudeni leswi vatswari kumbe vahlayisi va swona va nga kotaka ku hakela dyondzo ya le yunivhesiti va fanele no ya emahlweni va endla tano, hikuva dyondzo i vutihlamuleri bya hinkwerhu ku nga ri bya mfum Ku cinca ku tekela enhlokweni mhaka ya nkoto eka swichudeni na vatswari va swona, ku katsa na xilaveko xo tiyisisa leswaku swikolo swa dyondzo ya le henhla swi tshamisekile hi tlhelo ra timal Xiviko xo sungula hi Huvo eka Dyondzo ya le Henhla xi ringanyetile cinco wa timali lowu katsaka ku tlakuka ka mixavo-eka hinkwaswo hi 2014.","Cabinet appeals to students and student leaders in particular, to raise their concerns appropriately according to the Constitution, which guides all South African Recent violence marred student protests when the country witnessed vandalism, destruction of property, burning of libraries and now even the death of a university worke President Jacob Zuma has instructed the Justice, Crime Prevention and Security Cluster (JCPS) to deal with the mayhem that is destroying our institutions of higher learnin The President will be meeting with the Ministers from the JCPS Cluster later toda Law-enforcement agencies, who are acting within the confines of the law, will leave no stone unturned in finding those responsible for the criminal activities witnesse In welcoming the announcement by the Department of Basic Education that it is all systems go for the 2016 Grade 12 National Senior Certificate examination, we urge all stakeholders to work together to ensure that our institutions of higher learning are in a position to receive the Class of 2016 in order to secure a brighter future for our childre All stakeholders, especially parents and guardians, need to be actively involved in finding lasting solutions to the education funding challengThe Grade 12 examinations run from 26 October to 29 November 2016.",0.7743703
[0.22233035 0.5618773  2.8327558  ... 1.0616328  1.2933813  1.2256815 ],[0.00322236 0.02424141 0.05806898 ... 0.02508288 0.04442537 0.03376947],"Mfumo wu amukerile xibumabumelo xo ringanyetiwa ka ku engeteriwa ka mali hi 8% etiyunivhesiti na le tikholeji ta Vuthekiniki na Mitirho ya Mavoko na Vuleteri, loko hi nkarhi wolowo wu nyika nghendlhe ya timali ku angharhela ku engeteriwa eka lava nga swela na swichudeni leswi nga lahleka swa le xikarhLoko hi le tlhelo Khomixini ya Phuresidente ya Ndzavisiso eka Timali ta Dyondzo ya le Henhla na Vuleteri yi hetisa ntirho wa yona, sisiteme ya yunivhesiti ya hina yi fanele yi ya emahlweni yi tirha, ku humelerisa vuswikoti eka ikhonomi, ku nyika matimba eka vaaki va Afrika-Dzonga na swichudeni ku suka ematikweni ya misava hinkwawo, ngopfungopfu Muganga wa Nhluvukiso wa le Dzongeni wa Afrika (SADC).","Government accepted the recommendation of a proposed 8% fee adjustment at universities and Technical and Vocational Education and Training colleges, while at the same time providing the gap funding to cover the adjustment for poor and missing middle studentWhile the Presidential Commission of Inquiry into Higher Education and Training Funding completes its work, our university system has to continue functioning, producing skills for the economy, and empowering young South Africans and students from countries around the world, in particular the Southern African Development Community (SADC).",0.9088152
"[ 0.78412664  1.7173228  -0.00363542 ...  0.6633333   0.61771446
  1.6664919 ]",[0.01969377 0.00027956 0.00514978 ... 0.03453662 0.04356789 0.01643563],"Khabinete yi kombela swichudeni na va varhangeri va swichudeni ngopfungopfu, ku humesela ehandle swivilelo swa vona hi mfanelo hi ku ya hi Vumbiw Madzolonga ya sweswinyana ya thyakisile ku kombisa ku vilela ka swichudeni loko tiko ri vonile ku fayeteriwa, ku onhiwa ka nhundzu, ku hisiwa ka tilayiburari naswona sweswi ku katsa na rifu ra mutirhi wa le yunivhesit Phuresidente Jacob Zuma u lerisile Tlilasithara ya Vululami, Nsivelo wa Vugevenga, na Vuhlayiseki (JCPS) ku tirhana na hansahansa leyi onhaka swikolo swa hina swa dyondzo ya le henhl Phuresidente u ta hlangana na Vaholobye ku suka eka Tlilasithara ya JCPS namuntlha kwala ku fambeni ka sik Tiejensi ta nhlayiso wa nawu, leti tirhaka eka vulawuri bya nawu, ti ta secha hinkwako ku kuma lava nga na vutihlamuleri eka migingiriko ya vugevenga lebyi nga voniw Eku amukeleni ka xitiviso xa Ndzawulo ya Dyondzo ya Masungulo xa leswaku tisisiteme hinkwato ti lulamile eka xikambelo xa Rixaka xa Setifikheti ya Seniyara xa ka Gireyidi 12 xa 2016, hi kombela vakhumbheki hinkwavo ku tirha swin we ku tiyisisa leswaku swikolo swa hina swa dyondzo ya le henhla swi le ka xiyimo xo amukela Tlilasi ya 2016 ku kota ku hlayisa vumundzuku byo vangama eka vana va hin Vakhumbheki hinkwavo, ngopfungopfu vatswari na vahlayisi va vana, va laveka ku va va nghenelela eku kumeni ka swintshuxo eka tlhontlhlo wa timali ta dyondzSwikambelo swa ka Gireyidi 12 swi ta sungula hi ti 26 Nhlangula ku fikela hi ti 29 Hukuri 2016.","on 2 October 2016 at the Fountains Valley Resort, Pretori Cabinet encourages South Africans to embrace an active, healthier lifestyle so as to tackle the high incidence of lifestyle diseases and obesit 19 October 2016 marks the 30th anniversary of the plane crash that claimed the life of Mozambican President, Samora Moises Machel and 34 of his country men and women, including pilots and journalistThe people of Mozambique contributed towards the liberation of South Africa and other countries in the subcontinen The government of the Republic of South Africa, in collaboration with the government of the Republic of Mozambique, will host the 30th anniversary commemorations at the crash site in Mbuzini, Mpumalanga on 17 October 2016.This contributes to the Department of Arts and Culture establishing a resistance and liberation heritage route that will link all liberation heritage route sites in South Africa, the SADC and the continenCabinet extends condolences to the following: The family and friends of South African music legend and one of the pioneers of Kwaito music genre, Mduduzi Tshabalala, popularly known as Mandoz His music achieved a unique cultural crossover which continues to be appreciated by all South African.",0.85327876
"[ 1.3035     -0.16094922  0.2678134  ...  0.5119745   1.1981547
  2.9100246 ]","[ 0.01675175  0.00214183 -0.00043881 ...  0.01210969  0.0202567
  0.06243692]",Holobye wa Dyondzo ya Masungulo u ta tivisa mbuyelo wa swikambelo swa ka Gireyidi 12 wa 2016 hi ti 4 Sunguti 2017.,The Minister of Basic Education will announce the outcome of the 2016 Grade 12 exams on 4 January 2017.,0.9259221
[0.37350374 0.18816899 0.4958616  ... 0.7818098  0.7034056  0.907312  ],[0.02213514 0.00010185 0.00275191 ... 0.02228553 0.0270529  0.00413509],"Eka swikambelo swa 2016, ku na 677 141 wa vadyondzi va nkarhi hinkwawo na 150 183 wa vadyondzi va nkarhinyana, sweswi ku na engetelelo wa 9 000 wa vadyondzi ku tlula hi 2015, ku kombisa ku tinyiketelela ka mfumo ku tiyisisa leswaku vatshwa va hina vo tala va hetisa tidyondzo ta vona ta masungulo leswaku va ta kota ku nghenelela eka ikhonom Khabinete yi navelela Tlilasi ya 2016 mikateko loko yi fikelela xiphemu xo hetelela xa tidyondzo ta swikolo swa yon Tanihileswi misava yi tsundzukaka Siku ra Vadyondzisi ra Misava Hinkwayo hi ti 5 Hlangula 2016, Khabinete yi hoyozela vadyondzisi va hina hinkwavo no va khensa eka ku tinyiketela ka vona no tirha hi matimba eku andlaleni ka masungulo eka varhangeri va hina va mundzuk Ku tinyiketela na ku phikelela ka vadyondzisi va hina swi tlakusile vanhu va hina no ya emahlweni swi susumetela vana va hina eka vumundzuku byo vangamIkhonomi Khabinete yi hlohloteriwa hi mimbuyelo ya mimbhurisano leyi ya ka emahlweni exikarhi ka mfumo na vakaputeni va vumaki lava rhangeriweke hi Phuresidente Zuma hi Pfhumba ra CEO ra Phuresidente ku aka vutitshembhi eka ikhonomi, ku hlanganyeta nkulo wa ikhonomi no sivela ku ya ehansi ka matimba eka nkalo wa swikweletKu humelela ku katsa phurogireme ya mitirho ya vantshwa ku vekela miliyoni yin we ya vantshwa eka tiinthenexipi leti hakelaka eka ku tlula malembe yanharhu eka mabindzu lawa ya nga ri ki ya mfumo, ku katsa na ku tumbuluxiwa ka Nkwama wa Mabindzu Lamantsongo na Lamakulu ya le Afrika-Dzonga hi R1,5 biliyoni ku vekisa eka mabindzu lamantsong Hi ku fambisana na Kungu ra Timhaka ta Kaye ra mfumo, ntirho wu endliwile ku hlela mabindzu ya nhungu ya ikhonomi no boxa tindzhawu ta vuvekisi byintshwa na nkulKu ya emahlweni mabindzu ya ta endla xinakulorhi na mfumo eka tiphurojeke leti landzelaka: ku tumbuluxiwa ka Nkwama wa Nkulo wa swa Vurimi; tshaku ro seketela navetiso wa swa vupfhumba; ku engetelela nhlayo ya vaongori lava leteriweke; na ku pfuxeleriwa ka tindzhawu ta vumaki leti ya ka ehansi, ngopfungopfu eVaal Triangl.","Day on 5 October 2016, Cabinet applauds all our teachers and commends them for their dedication and hard work in laying the foundation for our future leader The dedication and resilience of our teachers has uplifted our people and continues to propel our children to a brighter futurThe Economy Cabinet is encouraged by the outcomes of the continued engagement between government and captains of industry led by President Zuma through the Presidential CEO Initiative to build confidence in the economy, reignite economic growth and avert a sovereign credit rating downgradProgress includes a youth employment programme to place one million youth in paid internships over three years in the private sector, including the establishment of a South African Small and Medium Enterprise Fund with R1,5 billion to invest in small enterprise In line with government's Nine-Point Plan, work has also been done to analyse eight economic sectors and identify areas for new investment and growtGoing forward business will partner with government through the following projects: establishment of an Agricultural Growth Fund; capacity to support tourism marketing; increasing the numbers of nurses trained; and the revitalisation of declining industrial areas, specifically in the Vaal Triangl.",0.85627806
"[ 1.0136175   0.8425148  -0.21866566 ...  1.03343     1.7852798
  1.06953   ]","[ 0.04335662  0.03368071  0.00047627 ...  0.02926647  0.02031622
 -0.00022914]","Ku humelela ku tlhele ku endliwa eku tirhisiweni ka Pulani ya Hayidirojeni ya Rixaka na Ndzavisiso wa Tithekinoloji ta Vuhlayiselo bya Mafurha, Nhluvukiso na Ntumbuluxo wa swilo swintshwa (Pulani ya HySA).","Progress has also been made in implementing the National Hydrogen and Fuel Cell Technologies Research, Development and Innovation Strategy (HySA Strategy).",0.8561708
[0.8835833  0.11870658 2.5667987  ... 1.1048679  0.98113495 1.5443023 ],[0.04071406 0.00186629 0.07293552 ... 0.04567108 0.03425182 0.02713368],"Khabinete yi amukerile Pulani ya HySA hi 2007 ku tumbuluxa vutivi no kotisa nhluvukiso wa switirhisiwa swa mabindzu swa nkoka wa le henhla eka bindzu ra Hayidirojeni na thekinoloji ya Vuhlayiselo bya Mafurha hi malulamiselo ya swicelwa eka swikumiwa swa ntlawa wa nsimbhi swa pulatinam Leswi swi tlhela swi khoma nkoto wo yisa emahlweni swilo swa laha kaya hi nhleketo wo tiyisisa vamaki va vantim Ku tumbuluxiwa loku kuntshwa ka le Afrika-Dzonga ku katsa ku hoxa xandla eka ku tumbuluxiwa ka swilo swintshwa eka misava hinkwayo hi ku xavisiwa ka swilo swa thekinoloji loko ku ri karhi ku vekiwa 25% ya makete wa Hayidirojeni na Vuhlayiselo bya Mafurha, leswi hundzuluxelaka eka R biliyoni hi 20211.","Cabinet approved the HySA Strategy in 2007 to create knowledge and enable the development of high-value commercial products in the Hydrogen and Fuel Cell technology sector through beneficiation of the country s platinum group metal resource This also holds the potential to advance localisation with a view to strengthen black industrialist This South African innovation involves contributing to international innovation through technology commercialisation while capturing 25% of the Hydrogen and Fuel Cell market, which translates to R billion in 20211.",0.8876598
"[ 0.60514563  0.2960783  -0.1089416  ...  0.73073465  0.7836808
  1.0299768 ]","[ 0.02230054 -0.00040544  0.00268975 ...  0.03139582  0.06942121
  0.04093024]","Khabinete yi amukerile ku tivisiwa ka nawu wuntshwa lowu lawulaka vuxaka exikarhi ka muthori na muthoriwa eka maendlele yo endla bindzu na Mfum Milawu leyi nga gazetiwa yi endla leswaku ku sungula Nawu wa Vurhangeri bya Mafambiselo ya Vanhu, 2014 (Nawu wa 11 wa 2014).. Ku nyikiwa ka tindlu to sungula ta 500 eka phurojeke ya Vutshamo bya Vanhu leyi Hlanganisiweke ya Savanna City, leyi rhangeriweke hi Holobye wa Vutshamo bya Vanhu, Manana Lindiwe Sisulu, i xiphemu xa matshalatshala ya mfumo eku nyikeni ka tindlu to khomeka eka vanhu lava nga swela no va pfuna ku vuyisela xindzhuti xa vona hi ku tiyisisa leswaku va tiphina hi mfanelo ya vutshamo bya kahle no tiy Ntsengo 200 wa tindlu wu nyikiwile khale ka masoch Loko yi herile eka malembe ya tlhanu lawa ya ta ka, phurojeke yi ta va yi ri na ku tlula 18 000 wa tindlu, 500 leti nga ta nyikiwa khale ka masoch.","Cabinet was briefed on the development of a new series of commemorative and circulation coins that would represent culture, freedom and democracy, by the South African Mint and its Board of Directors, in conjunction, with the Minister of FinancCabinet approved the introduction and designs of the new R10 and R5 Sterling-silver commemorative coins; the new R5 (1/2 o) 24-carat gold commemorative coin to the Natura Coin Series for 2017; and Designs of the following commemorative coin series:The 2017 Natura Coin Series;The 2017 Sterling-silver Coin Series; andThe 2017 Sterling-silver R2 Crown and 2",0.8269862
